"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Jan 16 2015","2457038","443059201","103.74","5.98e-7","8.40e-8","-3.8","-","147.59","1e-8","0","bin79.log"
"Feb 15 2015","2457067","445651201","45.34","4.07e-7","8.70e-8","-3.8","-","116.49","1e-8","0","bin80.log"
"Mar 17 2015","2457100","448243201","68.01","4.69e-7","8.10e-8","-3.8","-","87.76","1e-8","0","bin81.log"
"Apr 16 2015","2457129","450835201","32.36","3.55e-7","8.80e-8","-3.8","-","59.96","1e-8","0","bin82.log"
"May 16 2015","2457159","453427201","25.33","2.71e-7","7.60e-8","-3.8","-","31.16","1e-8","0","bin83.log"
"Jun 15 2015","2457189","456019201","28.37","3.43e-7","9.00e-8","-3.8","-","0.61","1e-8","0","bin84.log"
"Jul 15 2015","2457219","458611201","34.65","3.25e-7","7.80e-8","-3.8","-","30.37","1e-8","0","bin85.log"
"Aug 14 2015","2457249","461203201","15.68","2.16e-7","7.60e-8","-3.8","-","59.62","1e-8","0","bin86.log"
"Sep 13 2015","2457278","463795201","23.49","2.56e-7","7.50e-8","-3.8","-","86.78","1e-8","0","bin87.log"
"Oct 13 2015","2457309","466387201","60.89","4.02e-7","7.40e-8","-3.8","-","113.35","1e-8","0","bin88.log"
"Nov 12 2015","2457338","468979201","74.8","5.26e-7","8.50e-8","-3.8","-","141.56","1e-8","0","bin89.log"
"Dec 12 2015","2457369","471571201","172.57","7.73e-7","8.60e-8","-3.8","-","171.87","1e-8","0","bin90.log"
"Jan 11 2016","2457398","474163201","160.14","6.53e-7","7.30e-8","-3.8","-","153.24","1e-8","0","bin91.log"
"Feb 10 2016","2457427","476755201","9.6","1.71e-7","7.80e-8","-3.8","-","121.74","1e-8","0","bin92.log"
"Mar 11 2016","2457459","479347201","99.83","5.80e-7","8.20e-8","-3.8","-","92.66","1e-8","0","bin93.log"
"Apr 10 2016","2457488","481939201","32.93","3.32e-7","8.10e-8","-3.8","-","64.84","1e-8","0","bin94.log"
"May 10 2016","2457519","484531201","153.97","7.30e-7","8.60e-8","-3.8","-","36.33","1e-8","0","bin95.log"
"Jun 09 2016","2457548","487123201","92.52","6.12e-7","9.20e-8","-3.8","-","6.03","1e-8","0","bin96.log"
"Jul 09 2016","2457579","489715201","91.65","5.60e-7","8.50e-8","-3.8","-","25.04","1e-8","0","bin97.log"
"Aug 08 2016","2457608","492307201","138.89","6.76e-7","8.30e-8","-3.8","-","54.68","1e-8","0","bin98.log"
"Sep 07 2016","2457637","494899201","160.11","6.86e-7","7.90e-8","-3.8","-","82.13","1e-8","0","bin99.log"
"Oct 07 2016","2457668","497491201","1858.44","2.25e-6","8.00e-8","-3.8","-","108.65","1e-8","0","bin100.log"
"Nov 06 2016","2457697","500083201","272.68","9.46e-7","8.40e-8","-3.8","-","136.43","1e-8","0","bin101.log"
"Dec 06 2016","2457728","502675201","118.32","6.28e-7","8.40e-8","-3.8","-","166.75","1e-8","0","bin102.log"
"Jan 05 2017","2457757","505267201","200.91","8.56e-7","9.00e-8","-3.8","-","158.90","1e-8","0","bin103.log"
"Feb 04 2017","2457787","507859201","61.45","4.31e-7","7.80e-8","-3.8","-","127.07","1e-8","0","bin104.log"
"Mar 06 2017","2457819","510451201","88.21","5.09e-7","7.70e-8","-3.8","-","97.60","1e-8","0","bin105.log"
"Apr 05 2017","2457849","513043201","153.21","7.64e-7","8.90e-8","-3.8","-","69.70","1e-8","0","bin106.log"
"May 05 2017","2457879","515635201","73.79","5.03e-7","8.10e-8","-3.8","-","41.43","1e-8","0","bin107.log"
"Jun 04 2017","2457908","518227201","61.92","4.43e-7","7.90e-8","-3.8","-","11.44","1e-8","0","bin108.log"
"Jul 04 2017","2457939","520819201","183.79","8.62e-7","8.80e-8","-3.8","-","19.66","1e-8","0","bin109.log"
"Aug 03 2017","2457968","523411201","100.99","5.79e-7","8.10e-8","-3.8","-","49.67","1e-8","0","bin110.log"
"Sep 02 2017","2457998","526003201","163.79","6.81e-7","7.90e-8","-3.8","-","77.46","1e-8","0","bin111.log"
"Oct 02 2017","2458028","528595201","125.25","6.17e-7","7.90e-8","-3.8","-","103.99","1e-8","0","bin112.log"
"Nov 01 2017","2458058","531187201","364.05","1.08e-6","8.50e-8","-3.8","-","131.39","1e-8","0","bin113.log"
"Dec 01 2017","2458088","533779201","91.81","5.83e-7","8.70e-8","-3.8","-","161.36","1e-8","0","bin114.log"
"Dec 31 2017","2458118","536371201","57.51","4.43e-7","8.20e-8","-3.8","-","164.52","1e-8","0","bin115.log"
"Jan 30 2018","2458147","538963201","34.84","3.48e-7","8.20e-8","-3.8","-","132.49","1e-8","0","bin116.log"
"Mar 01 2018","2458177","541555201","280.79","9.54e-7","8.20e-8","-3.8","-","102.59","1e-8","0","bin117.log"
"Mar 31 2018","2458209","544147201","2.04","< 1.40e-6","-","-","-","74.55","1e-8","0","bin118.log"
"Apr 30 2018","2458239","546739201","93.08","6.94e-7","1.03e-7","-3.8","-","46.48","1e-8","0","bin119.log"
"May 30 2018","2458269","549331201","22.07","1.19e-6","3.62e-7","-3.8","-","16.81","1e-8","0","bin120.log"
"Jun 29 2018","2458299","551923201","16.68","3.17e-7","1.07e-7","-3.8","-","14.24","1e-8","0","bin121.log"
"Jul 29 2018","2458329","554515201","11.45","2.50e-7","1.01e-7","-3.8","-","44.58","1e-8","0","bin122.log"
"Aug 28 2018","2458358","557107201","27.59","3.08e-7","8.10e-8","-3.8","-","72.74","1e-8","0","bin123.log"
"Sep 27 2018","2458388","559699201","224.19","7.53e-7","7.20e-8","-3.8","-","99.36","1e-8","0","bin124.log"
"Oct 27 2018","2458418","562291201","1967.31","4.16e-6","1.40e-7","-3.8","-","126.44","1e-8","0","bin125.log"
"Nov 26 2018","2458448","564883201","74.7","5.67e-7","9.30e-8","-3.8","-","155.96","1e-8","0","bin126.log"
"Dec 26 2018","2458478","567475201","97.37","7.74e-7","1.16e-7","-3.8","-","169.94","1e-8","0","bin127.log"
"Jan 25 2019","2458508","570067201","237.7","9.64e-7","8.70e-8","-3.8","-","137.98","1e-8","0","bin128.log"
"Feb 24 2019","2458537","572659201","291.72","1.11e-6","1.00e-7","-3.8","-","107.64","1e-8","0","bin129.log"
"Mar 26 2019","2458570","575251201","154.86","7.85e-7","9.10e-8","-3.8","-","79.40","1e-8","0","bin130.log"
"Apr 25 2019","2458599","577843201","73.66","4.86e-7","8.00e-8","-3.8","-","51.47","1e-8","0","bin131.log"
"May 25 2019","2458629","580435201","45.48","5.67e-7","1.18e-7","-3.8","-","22.13","1e-8","0","bin132.log"
"Jun 24 2019","2458659","583027201","11.12","2.41e-7","1.00e-7","-3.8","-","8.80","1e-8","0","bin133.log"
"Jul 24 2019","2458689","585619201","23.98","3.51e-7","9.90e-8","-3.8","-","39.42","1e-8","0","bin134.log"
"Aug 23 2019","2458719","588211201","230.96","7.95e-7","7.70e-8","-3.8","-","67.98","1e-8","0","bin135.log"
"Sep 22 2019","2458748","590803201","342.08","9.55e-7","7.70e-8","-3.8","-","94.74","1e-8","0","bin136.log"
"Oct 22 2019","2458779","593395201","374.06","1.15e-6","9.00e-8","-3.8","-","121.57","1e-8","0","bin137.log"
"Nov 21 2019","2458808","595987201","67.85","6.90e-7","1.23e-7","-3.8","-","150.60","1e-8","0","bin138.log"
"Dec 21 2019","2458838","598579201","42.07","6.48e-7","1.43e-7","-3.8","-","174.47","1e-8","0","bin139.log"
"Jan 20 2020","2458868","601171201","162.62","8.38e-7","9.10e-8","-3.8","-","143.54","1e-8","0","bin140.log"
"Feb 19 2020","2458897","603763201","233.63","9.03e-7","8.70e-8","-3.8","-","112.75","1e-8","0","bin141.log"
"Mar 20 2020","2458929","606355201","116.16","7.19e-7","9.20e-8","-3.8","-","84.25","1e-8","0","bin142.log"
"Apr 19 2020","2458958","608947201","75.6","4.77e-7","7.80e-8","-3.8","-","56.42","1e-8","0","bin143.log"
"May 19 2020","2458989","611539201","75.35","6.11e-7","1.01e-7","-3.8","-","27.40","1e-8","0","bin144.log"
"Jun 18 2020","2459018","614131201","93.15","9.47e-7","1.38e-7","-3.8","-","3.35","1e-8","0","bin145.log"
"Jul 18 2020","2459049","616723201","88.03","6.18e-7","9.30e-8","-3.8","-","34.19","1e-8","0","bin146.log"
"Aug 17 2020","2459078","619315201","173.24","7.44e-7","8.20e-8","-3.8","-","63.15","1e-8","0","bin147.log"
"Sep 16 2020","2459107","621907201","198.66","6.91e-7","7.20e-8","-3.8","-","90.12","1e-8","0","bin148.log"
"Oct 16 2020","2459138","624499201","451.35","1.24e-6","9.00e-8","-3.8","-","116.78","1e-8","0","bin149.log"
"Nov 15 2020","2459167","627091201","80.14","7.62e-7","1.25e-7","-3.8","-","145.31","1e-8","0","bin150.log"
"Dec 15 2020","2459198","629683201","93.08","7.15e-7","1.07e-7","-3.8","-","174.77","1e-8","0","bin151.log"
"Jan 14 2021","2459227","632275201","97.71","7.80e-7","1.15e-7","-3.8","-","149.16","1e-8","0","bin152.log"
"Feb 13 2021","2459257","634867201","293.46","1.01e-6","8.90e-8","-3.8","-","117.95","1e-8","0","bin153.log"
"Mar 15 2021","2459289","637459201","418.23","1.31e-6","1.00e-7","-3.8","-","89.12","1e-8","0","bin154.log"
"Apr 14 2021","2459318","640051201","362.64","1.14e-6","9.00e-8","-3.8","-","61.32","1e-8","0","bin155.log"
"May 14 2021","2459349","642643201","136.62","7.24e-7","8.90e-8","-3.8","-","32.60","1e-8","0","bin156.log"
"Jun 13 2021","2459378","645235201","53.55","8.32e-7","1.65e-7","-3.8","-","2.11","1e-8","0","bin157.log"
"Jul 13 2021","2459409","647827201","246.72","1.12e-6","1.00e-7","-3.8","-","28.90","1e-8","0","bin158.log"
"Aug 12 2021","2459438","650419201","92.07","5.55e-7","8.20e-8","-3.8","-","58.26","1e-8","0","bin159.log"
"Sep 11 2021","2459468","653011201","184.63","6.98e-7","7.50e-8","-3.8","-","85.49","1e-8","0","bin160.log"
"Oct 11 2021","2459498","655603201","209.88","7.82e-7","7.50e-8","-3.8","-","112.04","1e-8","0","bin161.log"
"Nov 10 2021","2459528","658195201","87.35","6.79e-7","1.07e-7","-3.8","-","140.12","1e-8","0","bin162.log"
"Dec 10 2021","2459558","660787201","23.32","3.40e-7","9.80e-8","-3.8","-","170.50","1e-8","0","bin163.log"
"Jan 09 2022","2459587","663379201","36.36","5.71e-7","1.34e-7","-3.8","-","154.82","1e-8","0","bin164.log"
"Feb 08 2022","2459617","665971201","121.32","6.58e-7","8.50e-8","-3.8","-","123.22","1e-8","0","bin165.log"
"Mar 10 2022","2459649","668563201","285.7","1.02e-6","9.00e-8","-3.8","-","94.03","1e-8","0","bin166.log"
"Apr 09 2022","2459679","671155201","81.93","5.35e-7","8.20e-8","-3.8","-","66.20","1e-8","0","bin167.log"
"May 09 2022","2459709","673747201","90.93","6.16e-7","9.20e-8","-3.8","-","37.75","1e-8","0","bin168.log"
"Jun 08 2022","2459739","676339201","103.64","9.83e-7","1.39e-7","-3.8","-","7.53","1e-8","0","bin169.log"
"Jul 08 2022","2459769","678931201","413.26","1.39e-6","1.00e-7","-3.8","-","23.55","1e-8","0","bin170.log"
"Aug 07 2022","2459798","681523201","146.98","6.93e-7","7.70e-8","-3.8","-","53.30","1e-8","0","bin171.log"
"Sep 06 2022","2459828","684115201","313.12","9.50e-7","7.40e-8","-3.8","-","80.84","1e-8","0","bin172.log"
"Oct 06 2022","2459858","686707201","49.13","3.60e-7","7.40e-8","-3.8","-","107.36","1e-8","0","bin173.log"
"Nov 05 2022","2459888","689299201","89.38","5.80e-7","8.40e-8","-3.8","-","135.02","1e-8","0","bin174.log"
"Dec 05 2022","2459918","691891201","425.78","2.05e-6","1.80e-7","-3.8","-","165.26","1e-8","0","bin175.log"
"Jan 04 2023","2459948","694483201","70.73","8.32e-7","1.34e-7","-3.8","-","160.47","1e-8","0","bin176.log"
"Feb 03 2023","2459977","697075201","38.9","3.42e-7","8.00e-8","-3.8","-","128.57","1e-8","0","bin177.log"
"Mar 05 2023","2460010","699667201","104.42","5.16e-7","6.90e-8","-3.8","-","98.98","1e-8","0","bin178.log"
